Date,tourists
Jan-10,6553
Feb-10,5618
Mar-10,6689
Apr-10,5210
May-10,4537
Jun-10,4683
Jul-10,6323
Aug-10,5717
Sep-10,5951
Oct-10,6327
Nov-10,6356
Dec-10,6866
Jan-11,6547
Feb-11,5143
Mar-11,6374
Apr-11,5821
May-11,5513
Jun-11,5838
Jul-11,7005
Aug-11,5347
Sep-11,5936
Oct-11,5767
Nov-11,3994
Dec-11,6126
Jan-12,5586
Feb-12,9235
Mar-12,6504
Apr-12,5785
May-12,7493
Jun-12,6388
Jul-12,5652
Aug-12,6157
Sep-12,6353
Oct-12,5957
Nov-12,6158
Dec-12,7950
Jan-13,6611
Feb-13,5047
Mar-13,7122
Apr-13,6357
May-13,6646
Jun-13,7386
Jul-13,6232
Aug-13,9257
Sep-13,7495
Oct-13,7554
Nov-13,8492
Dec-13,9061
Jan-14,6591
Feb-14,5535
Mar-14,7270
Apr-14,7550
May-14,7180
Jun-14,6074
Jul-14,6155
Aug-14,11393
Sep-14,7975
Oct-14,7985
Nov-14,8525
Dec-14,9301
Jan-15,6290
Feb-15,5490
Mar-15,7369
Apr-15,6798
May-15,7039
Jun-15,5539
Jul-15,6843
Aug-15,10109
Sep-15,6958
Oct-15,6958
Nov-15,7651
Dec-15,8612
Jan-16,7087
Feb-16,6595
Mar-16,7828
Apr-16,7528
May-16,7315
Jun-16,5656
Jul-16,8780
Aug-16,11145
Sep-16,6934
Oct-16,6806
Nov-16,7968
Dec-16,9377
Jan-17,7909
Feb-17,7659
Mar-17,7865
Apr-17,7872
May-17,7730
Jun-17,7152
Jul-17,8248
Aug-17,8781
Sep-17,7600
Oct-17,7541
Nov-17,7925
Dec-17,8332
